seance,regime,no_oeuf,masse_oeuf,masse_coq,epaisseur_coq,masse_du_jaune,masse_du_blanc,l_int_coq,a_int_coq,b_int_coq,l_jaune,a_jaune,b_jaune,abs_prot,prot_tot,chol_tot,lip_tot
seance 4,"Ba 2,5",2,10.03,1.248,0.26,3.074,5.708,83.38,-3.76,0.35,65.03,-7.61,27.44,0.2534,405.75,30071.45,
seance 4,"Ba 2,5",3,11.017,1.135,0.24,3.561,6.321,79.96,-2.6,0.62,69.18,-5.63,23.42,0.2247,359.79,19863.9,
seance 4,Ba 5,1,10.343,1.045,0.2,3.433,5.865,82.07,-3.27,1.56,66.9,-7.75,17.55,0.2012,322.17,25702.62,
seance 4,Ba 5,2,10.343,1.045,0.2,3.433,5.865,82.07,-3.27,1.56,66.9,-7.75,17.55,0.2168,347.14,23661.11,
seance 4,Ba 5,3,10.343,1.045,0.2,3.433,5.865,82.07,-3.27,1.56,66.9,-7.75,17.55,0.2449,392.14,27539.98,
seance 4,"Ba 7,5",1,8.465,1.03,0.27,2.753,4.682,85.96,-2.36,0.13,66.91,-7.61,24.26,0.2302,368.6,15331.75,
seance 4,"Ba 7,5",2,8.437,1.058,0.23,3.217,4.162,81.71,-4.98,2.06,65.71,-10.46,20.06,0.2365,378.69,14239.54,
seance 4,"Ba 7,5",3,10.792,1.636,0.24,3.798,5.358,85.51,-2.74,0.52,66,-7.51,22.85,0.1943,311.12,23324.26,
seance 4,Ba 10,1,9.942,1.087,0.23,3.415,5.44,85.04,-0.68,1,67.81,-6.56,28.22,0.1742,278.93,12810.48,
seance 4,Ba 10,2,10.887,1.225,0.25,3.483,6.179,85.17,-3.02,0.9,69.64,-7.94,23.28,0.2107,337.38,13953.73,
seance 4,Ba 10,3,10.692,1.338,0.25,3.528,5.826,80.49,-4.92,1.6,69.82,-6.43,23.62,0.2197,351.79,13249.4,
seance 4,YC,1,11.039,1.075,0.21,3.578,6.386,83.89,-2.54,0.93,67.62,-7.84,36.08,0.229,366.68,20027.22,
seance 4,YC,2,11.58,1.177,0.26,4.011,6.392,85.24,-2.46,0.84,61.23,-7.08,31.54,0.2536,406.07,9564.48,
seance 4,YC,3,11.575,1.281,0.34,3.92,6.374,85.52,-2.03,0.79,63.55,-6.83,37.17,0.2281,365.24,12626.74,
seance 4,WC,1,11.011,1.125,0.34,3.871,6.015,79.75,-4.52,2.62,62.96,-8.72,17.66,0.2748,440.02,12381.76,
seance 4,WC,2,10.073,1.141,0.33,3.595,5.337,84.32,-2.82,0.13,69.7,-7.05,16.33,0.2676,428.49,10299.42,
seance 4,WC,3,10.491,1.131,0.43,3.348,6.012,83.38,-1.53,1.8,66.62,-8.29,16.1,0.2648,424,7216.74,
seance 5,"Ba 0,25",1,9.513,1.352,0.22,3.461,4.7,78.85,-4.21,2.73,61.75,-7.95,16.33,,,,
seance 5,"Ba 0,25",2,12.318,1.221,0.18,4.381,6.716,85.85,-2.87,1,65.66,-8.15,18.55,,,,
seance 5,"Ba 0,25",3,12.4,1.407,0.18,4.416,6.577,86.49,-3.09,0.06,68.69,-8.39,22.3,,,,
seance 5,"Ba 0,50",1,10.593,1.593,0.17,3.617,5.383,82.86,-2.93,3.78,67.93,-9.63,19.25,,,,
seance 5,"Ba 0,50",2,9.815,1.55,0.22,28.89,-20.625,83.94,-2.55,5.2,64.33,-8.01,21.63,,,,
seance 5,"Ba 0,50",3,10.592,1.386,0.24,2.807,6.399,86.88,-2.51,1.06,67.72,-8.63,15.3,,,,
seance 5,"Ba 0,75",1,9.944,1.373,0.37,3.321,5.25,82.64,-3.77,1.22,62.05,-8.1,10.77,,,,
seance 5,"Ba 0,75",2,9.55,1.454,0.26,3.104,4.992,83.73,-5.42,2.21,70.04,-7.2,22.73,,,,
seance 5,"Ba 0,75",3,11.638,1.346,0.14,3.56,6.732,88.62,-0.46,1.43,69.71,-7.18,16.91,,,,
seance 5,Ba 1,1,11.094,1.491,0.34,4.238,5.365,82.28,-3.7,1.77,64.77,-9.23,18.79,,,,
seance 5,Ba 1,2,12.221,1.401,0.2,4.219,6.601,88.39,-0.1,1.27,66.2,-8.71,22.33,,,,
seance 5,Ba 1,3,11.665,1.355,0.21,3.833,6.477,86.56,-1.09,0.58,71.57,-7.32,20.32,,,,
seance 5,"Ba 2,5",1,10.98,1.172,0.18,3.423,6.385,86.21,-2.33,0.87,66.97,-8.55,17.46,,,,
seance 5,"Ba 2,5",2,10.236,1.374,0.23,4.054,4.808,85.45,-4.7,1.71,65.27,-6.98,21.56,,,,
seance 5,"Ba 2,5",3,11.413,1.361,0.19,3.407,6.645,84.47,-3.87,4.98,64.62,-7.91,22.16,,,,
seance 5,Ba 5,1,10.907,1.255,0.2,3.771,5.881,88.01,-1.42,1.34,68.76,-7.69,22.03,,,,
seance 5,Ba 5,2,10.641,1.455,0.24,3.838,5.348,82.12,-4.26,4.57,66.25,-8.36,16.08,,,,
seance 5,Ba 5,3,8.881,1.188,0.21,3.224,4.469,78.16,-2.56,2.31,63.16,-8.61,20.35,,,,
seance 5,"Ba 7,5",1,9.967,1.246,0.21,3.602,5.119,88.27,-0.9,0.16,74.63,-6.82,16.07,,,,
seance 5,"Ba 7,5",2,11.908,1.684,0.26,3.768,6.456,83.9,-3.75,3.87,63.43,-6,15.41,,,,
seance 5,"Ba 7,5",3,9.595,1.182,0.33,3.517,4.896,65.45,-4.62,5.91,70.85,-6.86,14.16,,,,
seance 5,Ba 10,1,12.112,1.48,0.22,3.636,6.996,85.78,-4.06,0.62,64.77,-11.32,12.36,,,,
seance 5,Ba 10,2,12.112,1.48,0.22,3.636,6.996,85.78,-4.06,0.62,64.77,-11.32,12.36,,,,
seance 5,Ba 10,3,12.112,1.48,0.22,3.636,6.996,85.78,-4.06,0.62,64.77,-11.32,12.36,,,,
seance 5,YC,1,10.477,1.284,0.25,3.381,5.812,86.42,-2.54,0.32,65.25,-4.61,45.94,,,,
seance 5,YC,2,12.809,1.37,0.28,4.335,7.104,87.6,-0.49,0.52,68.67,-6.02,43.87,,,,
seance 5,YC,3,11.643,1.327,0.265,3.858,6.458,87.01,-1.515,0.42,66.96,-5.315,44.905,,,,
seance 5,WC,1,10.69,1.435,0.3,3.28,5.975,87.06,-2.5,1.74,68.55,-7.83,22.45,,,,
seance 5,WC,2,9.543,1.43,0.24,2.999,5.114,86.21,-1.19,0.47,64.38,-7.79,13.41,,,,
seance 5,WC,3,11.181,1.349,0.14,3.694,6.138,86.01,-1.47,1.37,66.56,-10.22,20.17,,,,
